BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,NumberofBuildings,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,ENERGYSTARScore
NonResidential,Hotel,1909,6,35820,1.0,92.69999695,3321603.0,291133.9063,23282.54102,130.58,94.0
Multifamily LR (1-4),Low-Rise Multifamily,2003,4,42984,1.0,37.79999924,1249939.25,320714.3125,1556.619995,15.9,70.875
NonResidential,K-12 School,1922,2,33462,1.0,68.90000153,3987215.5,168505.2031,34122.75781,185.23,76.0
NonResidential,K-12 School,1965,3,49744,1.0,42.20000076,2096835.5,140196.2031,16184.86035,89.29,98.0
NonResidential,Worship Facility,1923,2,37816,1.0,37.0,1411305.5,200112.0938,7285.22998,43.45,60.0
NonResidential,Mixed Use Property,1926,2,23315,0.0,81.30000305,1354000.625,234182.0938,5549.710449,35.04,68.25
NonResidential,Mixed Use Property,1930,2,20700,1.0,206.1000061,4265815.0,240683.2031,34446.03906,188.67,66.125
Multifamily MR (5-9),Mid-Rise Multifamily,1979,9,82876,1.0,47.90000153,3093583.0,589190.375,10832.65039,71.55,81.0
Multifamily MR (5-9),Mid-Rise Multifamily,2008,7,142099,1.0,80.80000305,14332778.0,3640742.25,19105.64063,188.07,29.0
NonResidential,Other,1948,1,41521,1.0,116.0,3343550.0,491420.1875,16668.24023,100.21,68.0
NonResidential,Supermarket / Grocery Store,1946,2,25762,1.0,74.0,1906384.875,558729.375,0.0,13.29,100.0
Multifamily MR (5-9),Mid-Rise Multifamily,2010,7,213016,1.0,31.0,5149928.5,918565.375,20157.83008,128.91,99.0
NonResidential,Other,1984,1,33334,1.0,122.4000015,6118300.5,728225.8125,36335.9375,210.3,83.5
NonResidential,Small- and Mid-Sized Office,1981,3,43387,1.0,59.70000076,2686765.0,689505.8125,3341.709961,34.15,60.0
Multifamily LR (1-4),Low-Rise Multifamily,1960,2,23983,1.0,31.60000038,908203.625,266179.1875,0.0,6.33,39.0
Multifamily LR (1-4),Low-Rise Multifamily,1963,4,29351,1.0,23.70000076,614044.6875,179966.2031,0.0,4.28,80.0
Multifamily MR (5-9),Mixed Use Property,2003,7,106976,1.0,44.5,4358944.5,1004876.0,9303.070313,73.31,35.0
Multifamily LR (1-4),Low-Rise Multifamily,1920,3,25475,1.0,43.90000153,1118772.75,57113.10156,9239.030273,50.43,86.0
Multifamily LR (1-4),Low-Rise Multifamily,1968,3,40779,1.0,32.29999924,1234573.875,361832.9063,0.0,8.61,66.0
Multifamily LR (1-4),Low-Rise Multifamily,1965,3,38328,1.0,35.5,1093724.375,320552.3125,0.0,7.62,69.0
NonResidential,Mixed Use Property,1979,1,39350,1.0,6.5,267135.0938,78292.79688,0.0,1.86,88.625
Multifamily MR (5-9),Mid-Rise Multifamily,2008,6,193691,1.0,43.29999924,6649938.0,1109866.75,28630.72266,178.46,65.875
NonResidential,Other,1949,1,22405,0.0,189.1000061,3498214.75,325345.4063,23881.36133,134.57,62.75
Multifamily MR (5-9),Mid-Rise Multifamily,1971,7,86283,1.0,43.29999924,3739029.75,822159.0,9338.229492,69.15,54.0
Multifamily MR (5-9),Mid-Rise Multifamily,2001,6,57775,1.0,28.79999924,2536760.75,743481.875,0.0,17.68,39.25
Multifamily MR (5-9),Mid-Rise Multifamily,2001,5,320739,3.0,51.0,9162048.0,1432488.25,42743.97266,261.09,76.0
Multifamily LR (1-4),Low-Rise Multifamily,1986,3,67624,1.0,22.79999924,1541897.875,451904.4063,0.0,10.75,77.0
SPS-District K-12,Other,2013,1,32590,1.0,41.79999924,1361794.25,185440.2031,7290.722656,43.13,81.25
Multifamily LR (1-4),Low-Rise Multifamily,1978,4,73234,1.0,27.79999924,1808401.375,530012.125,0.0,12.61,72.0
Multifamily MR (5-9),Mid-Rise Multifamily,1988,5,145018,1.0,37.70000076,2249449.75,659275.875,0.0,15.68,25.0
NonResidential,Warehouse,1985,1,37500,1.0,29.5,1811506.375,527520.0,116.0800018,13.16,36.0
NonResidential,Medical Office,1990,2,39000,1.0,67.09999847,2615247.75,666815.5,3400.72998,33.92,25.0
NonResidential,Other,1924,1,22180,1.0,229.3999939,5089083.0,783094.125,24171.66016,147.0,84.625
Multifamily LR (1-4),Low-Rise Multifamily,1984,3,66885,1.0,31.70000076,1423929.125,417329.6875,0.0,9.93,70.0
Multifamily LR (1-4),Low-Rise Multifamily,2007,4,28560,1.0,41.90000153,738592.0,84432.0,4505.100098,25.93,87.75
Multifamily LR (1-4),Low-Rise Multifamily,1980,3,52166,1.0,33.0,1433573.25,420156.1875,0.0,9.99,28.0
SPS-District K-12,K-12 School,1971,1,51704,1.0,34.79999924,1799402.75,342275.9063,6315.571777,41.68,62.0
NonResidential,Distribution Center,1969,1,25920,1.0,47.09999847,1219744.75,332204.1875,862.6401367,12.48,67.375
NonResidential,Refrigerated Warehouse,1953,1,25480,1.0,29.10000038,741287.1875,217258.7969,0.0,5.17,72.75
NonResidential,Warehouse,1970,2,31000,1.0,74.19999695,2301043.75,649711.6875,842.2700806,19.93,54.0
NonResidential,Small- and Mid-Sized Office,1961,1,29740,1.0,48.90000153,1467060.25,369049.0,2078.650146,19.82,57.0
NonResidential,Distribution Center,1954,1,23236,1.0,18.70000076,433871.0,63685.19922,2165.77002,13.02,84.0
NonResidential,Small- and Mid-Sized Office,2009,3,38075,1.0,50.5,1921801.25,527377.5,1223.890015,19.04,73.625
Multifamily MR (5-9),Mid-Rise Multifamily,1969,7,139530,1.0,35.5,3944933.5,1033902.813,4172.569824,46.75,77.0
NonResidential,Small- and Mid-Sized Office,1970,2,39170,1.0,60.0,2130673.75,318239.9063,10448.38965,63.06,81.0
Nonresidential COS,Other,1977,1,36070,0.0,21.60000038,1441665.375,422527.9063,0.0,10.05,60.75
Multifamily MR (5-9),Mid-Rise Multifamily,2002,5,34542,1.0,48.5,1237655.25,160241.9063,6909.100098,40.51,84.25
NonResidential,Other,1963,2,20047,1.0,5.900000095,117438.3984,34419.19922,0.0,0.82,93.625
Multifamily LR (1-4),Low-Rise Multifamily,1968,3,37080,1.0,31.29999924,1162007.625,340564.9063,0.0,8.1,62.0
Multifamily LR (1-4),Low-Rise Multifamily,2002,3,22108,0.0,36.29999924,791035.5,231839.2031,0.0,5.51,47.0
